epoch,train_loss,val_acc,val_qwk
1,1.194,0.5315,0.6986
2,0.9017,0.5823,0.7593
3,0.8009,0.5484,0.7156
4,0.7326,0.5835,0.7575
5,0.7242,0.5508,0.765
6,0.6633,0.5896,0.7701
7,0.6132,0.6259,0.7813
8,0.5752,0.6162,0.7796
9,0.5594,0.6077,0.787
10,0.5293,0.6138,0.7813
11,0.48,0.6356,0.7786
12,0.4428,0.592,0.7742
13,0.4177,0.5823,0.7457
14,0.3625,0.6199,0.7893
15,0.3318,0.6344,0.7932
16,0.291,0.6344,0.7744
17,0.2664,0.6259,0.7775
18,0.2394,0.6308,0.7856
19,0.2234,0.6283,0.7759
20,0.2052,0.6247,0.7783
21,0.189,0.6174,0.7699
